nom
"Polyvalent : soudé sur support béton ou cloué sur support bois
"
Idéal pour complexe isolé avec panneaux collés
"Le voile de verre confère à la feuille d'étanchéité une parfaite stabilité dimensionnelle garantissant une haute performance.
"
"Fiabilité et durabilité grâce à sa composition alliant bitume élastomère, polymères avec adjuvants et stabilisants.
"
Excellente adhérence sur tout support donnant un caractère polyvalent à cette feuille d'étanchéité.
"Dotée d'une armature en polyester non tissé 180 g/m², Élastophène Flam 180-25 offre une excellente résistance aux poinçonnements statiques et dynamiques ainsi qu'à la déchirure
"
"La membrane a été conçue pour s'adapter parfaitement aux différents cas de travaux d'étanchéité en travaux neufs comme en réfection.
"
"Fabriquée à partir d'un mélange de bitume et de polymères, contenant des adjuvants et des stabilisants, qui lui confèrent une haute résistance aux intempéries
"
Les membranes Élastophène Flam 180-25 bénéficient d'un Avis Technique qui garantit une fiabilité à l'épreuve du temps.
"Dotée d'une armature en voile de verre, cette feuille d'étanchéité possède une parfaite stabilité dimensionnelle.
"
"Conçue pour s'adapter parfaitement aux différents cas de travaux d'étanchéité en travaux neufs comme en réfection.
"
Bénéficie d'un avis Technique qui garantit une fiabilité à l'épreuve du temps.
"Excellente résistance aux poinçonnements statiques et dynamiques ainsi qu'à la déchirure
"
"Fiabilité et durabilité
"
Haute résistance aux intempéries
"Excellente résistance aux poinçonnements et à la déchirure.
"
"Conçu pour les travaux d’étanchéité en neufs comme en réfection.
"
Haute résistance aux intempéries et au vieillissement.
"Haute performance : doté d'une armature en polyester non tissé, Équerre de renfort Sopralène offre une excellente résistance aux poinçonnements statique et dynamique ainsi qu'à la déchirure. Associée au bitume élastomère, l'armature permet à la membrane de subir sans déformation permanente les mouvements répétés du support.
"
Facilité de mise en œuvre : la sous-face en film thermofusible rend la membrane particulièrement adaptée à la mise en œuvre par soudure au chalumeau.
"Fiabilité et durabilité : Équerre de renfort Sopralène est fabriqué à partir d'un mélange de bitume et de polymères contenant des adjuvants et des stabilisants qui lui confèrent une haute résistance aux intempéries.
"
Sécurité sans flamme et facilité d'utilisation
"Fiabilité et durabilité
"
Excellente adhérence
"Anti-racine
"
Très bonne résistance mécanique
"Liant bitumineux de la feuille d'étanchéité avec agents anti-racines empêchant la pénétration des racines à travers le complexe étanche.
"
"Haute performance.
"
Facilité de mise en œuvre.
Haute adhérence au support
"Résistance mécanique élevée
"
"Pose mécanisée
"
Avis Technique Cerema
3 types de mise en œuvre possibles : à cheval, en lyre ou à plat.
Face supérieure protégée jusqu'à la mise en œuvre par une feuille de papier siliconé détachable
Économique et performante
Facile à mettre en œuvre
"Peut être utilisée toute l’année, même par temps froid
"
Contient une part significative de matières premières biosourcées issues du domaine végétal
Facile d’application.
Prête à l’emploi
Utilisable par temps froid.
"Sans solvant
"
Résistant au gel
Améliore l'adhésivité des feuilles d'étanchéité bitume
Applicable sur tout support
"Mise en œuvre à froid 
"
Monocomposant, prêt à l'emploi
Applicable à la brosse, au rouleau, à la raclette ou au pistolet
Très haute résistance à la déchirure
Excellente tenue au vent, sous face “accrochante”
Double lignage facilitant la mise en œuvre
Compatible avec feuille d'étanchéité bitume ou membrane d'étanchéité synthétique
"Non-tissé de fibres synthétiques liées par aiguilletage
et thermosoudées"
Idéal pour toitures végétalisées/jardins ou pour système avec inversé
Forte résistance à la compression.
"Insensible aux racines, champignons, aux acides et aux produits chimiques.
"
Conforme au DTU 20.1 et DTU 23.1
Pouvant être soumis à de forte sollicitation.
Mortier fibré de classe R4
Compatible avec les produits Soprema
Réparations hautes performances
Une solution prête à l'emploi, fluide et simple à mettre en œuvre
Parfaite adhérence au support, garantissant une performance durable
Efficace, durable et homogène : Son élasticité lui permet une excellente résistance à la fissuration
Pratique et sécurisante : Résine liquide monocomposante, prête à l'emploi, elle fait corps avec tous les reliefs
Une étanchéité liquide performante et simple à appliquer
"Excellente résistance à l'usure, assurant une durée de vie prolongée
"
Facilité d'entretien pour une solution pratique au quotidien
"Performance et simplicité de mise en œuvre : Application au rouleau
"
Procédé sans flamme : Absence d'utilisation de chalumeau, Un système d'étanchéité liquide permettant la suppression de protection en-tête (bande soline, engravure, couvertine)
500% d'allongement : Une très forte souplesse pour une bonne résistance à la dilatation
Performance et simplicité de mise en œuvre : application au rouleau
Procédé sans flamme : un système d'étanchéité liquide permettant la suppression de protection en-tête (bande soline, engravure, couvertine)
Son armature souple lui procure un bon allongement
Il est facile de le mettre en place grâce à sa souplesse
"Prêt à la pose.
"
Deux références : convenant à une large gamme de diamètre.

